id,temperature_c,temperature_f,humidity,wind_speed,wind_direction,pressure,ambientweatherbatteryok,ambientweathertemp,ambientweatherhumidity,ambientweatherwinddirection,ambientweatherwindspeed,ambientweatherwindmaxspeed,ambientweatherrain,ambientweatheruv,ambientweatheruvi,ambientweatherlightlux,image_url,date,time,5min_ahead,15min_ahead,30min_ahead,60min_ahead
754,17.3850612381531,63.2931102286756,27.856018873162,1.148,209,1015.69672464692,True,17.4,31,209,1.148,1.53,3.81,1701,4,60878,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-01-50-309Z_image.jpg,2024-11-20,1101,65121.0,65482.0,65597.0,71352.0
755,16.5261460245587,61.7470628442056,26.943058664647,1.53,156,1015.64585932518,True,17.3,29,156,1.53,2.04,3.81,1737,4,61925,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-07-12-337Z_image.jpg,2024-11-20,1107,65112.0,65627.0,65805.0,71206.0
756,16.4499113480619,61.6098404265114,27.7290372299101,1.211,288,1015.76662905188,True,17.2,30,288,1.211,2.04,3.81,1741,4,62103,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-08-12-631Z_image.jpg,2024-11-20,1108,65528.0,65698.0,65890.0,71004.0
757,16.5718868618889,61.8293963514001,27.4246250742334,0.956,11,1015.71902733002,True,17.1,30,11,0.956,2.04,3.81,1737,4,61928,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-09-13-004Z_image.jpg,2024-11-20,1109,65413.0,65371.0,65891.0,71407.0
758,17.3139081827889,63.16503472902,26.4455687728839,3.5,273,1015.69102379763,True,17.0,31,273,3.5,4.48,4.5,1750,4,62310,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-10-12-234Z_image.jpg,2024-11-20,1110,65386.0,65533.0,65915.0,71397.0
759,17.400308328867,63.3205549919605,24.309980381775,0.892,332,1015.61305855087,True,18.3,27,332,0.892,2.55,3.81,1843,4,65121,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-34-49-555Z_image.jpg,2024-11-20,1134,65308.0,65350.0,66030.0,71424.0
760,18.0000293079996,64.4000527543994,24.5282590061355,1.53,134,1015.57138047195,True,18.4,26,134,1.53,2.04,3.81,1843,4,65112,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-35-49-051Z_image.jpg,2024-11-20,1135,65609.0,65526.0,66081.0,71426.0
761,18.2795616574644,64.9032109834359,24.3323521355033,2.295,341,1015.58511105439,True,18.5,27,341,2.295,4.08,3.81,1861,4,65528,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-36-53-832Z_image.jpg,2024-11-20,1136,65739.0,65919.0,66239.0,71378.0
762,17.7154154567281,63.8877478221105,24.6635014570995,0.892,323,1015.60326388539,True,18.6,27,323,0.892,1.53,3.81,1856,4,65413,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-37-57-996Z_image.jpg,2024-11-20,1137,65541.0,65535.0,66111.0,71399.0
763,17.7052506932057,63.8694512477703,24.32809079071,0.892,189,1015.56000255277,True,18.6,27,189,0.892,1.02,3.81,1852,4,65386,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-39-03-018Z_image.jpg,2024-11-20,1138,65712.0,65493.0,66238.0,71340.0
764,18.0864301220106,64.5555742196192,23.9361875984047,0.956,214,1015.52010613257,True,18.7,27,214,0.956,2.04,3.81,1852,4,65308,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-40-08-200Z_image.jpg,2024-11-20,1140,65482.0,65947.0,66090.0,71417.0
765,17.9136285780987,64.2445314405777,23.9802376398455,1.785,276,1015.48745501162,True,18.7,26,276,1.785,2.55,3.81,1861,4,65609,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-41-08-639Z_image.jpg,2024-11-20,1141,65627.0,65759.0,66166.0,71345.0
766,17.9034637918754,64.2262348253757,23.7272353836277,1.211,343,1015.57934281267,True,18.7,27,343,1.211,1.53,3.81,1865,4,65739,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-42-08-166Z_image.jpg,2024-11-20,1142,65698.0,65699.0,72605.0,71421.0
767,17.6086854978057,63.6956338960503,23.9733803382277,1.02,1,1015.40573837827,True,18.7,27,1,1.02,1.53,3.81,1861,4,65541,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-43-12-936Z_image.jpg,2024-11-20,1143,65371.0,65506.0,72409.0,71260.0
768,18.3303858155909,64.9946944680635,23.0242687271036,5.46,280,1015.50396825534,True,18.7,26,280,5.46,10.08,4.5,1865,4,65712,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-44-17-788Z_image.jpg,2024-11-20,1144,65533.0,65762.0,72474.0,71419.0
769,18.1626662042225,64.6927991676005,23.4047396889591,0.446,12,1015.45255711194,True,18.7,27,12,0.446,0.51,3.81,1856,4,65482,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-45-22-994Z_image.jpg,2024-11-20,1145,65350.0,65597.0,72396.0,71296.0
770,18.6302489409456,65.5344480937021,22.8098945161286,0.701,128,1015.52267789002,True,18.6,27,128,0.701,1.02,3.81,1861,4,65627,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-20T17-46-23-156Z_image.jpg,2024-11-20,1146,65526.0,65805.0,72512.0,71175.0
